"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","PRECINTO","","7798039294035","PRECINTOS 400MM X 7.6MM PTFL-400-76N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039294004","PRECINTOS 400MMX 4.6MM PTFL8-400-46N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039295056","PRECINTOS 450MM X 7.6MM PTFL-450-76N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PULSADOR","ImbelloniR12","","PULSADOR 01 ROJO CHICO","$1.00","5.00%","$5.00","5.00%","$5.00","14","Si"
"ACCESORIOS","PULSADOR","ImbelloniR12","","PULSADOR 02 TRMINAL FICHA","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","PULSADOR","ImbelloniR12","","PULSADOR 03 TERMINAL TORNILLO","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","PULSADOR","ImbelloniR12","","PULSADOR COLOR CON LUZ 20A12V","$1.00","5.00%","$5.00","5.00%","$5.00","17","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993339450","QKL 14""","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336381","QKL 15""","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336398","QKL 16""","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336411","QKL 18""","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336428","QKL 19""","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336435","QKL 20""","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336442","QKL 21","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336459","QKL 22""","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993336473","QKL 24""","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7792993339641","QKL 30""","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","SELECTORA","ImbelloniR12","007541","ROTULA EJE SELECTORA A CABLE AP 7541","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL 40-X9","$1.00","5.00%","$5.00","5.00%","$5.00","196","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL 42-X9","$1.00","5.00%","$5.00","5.00%","$5.00","200","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL 944-X","$1.00","5.00%","$5.00","5.00%","$5.00","203","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL 954-X9","$1.00","5.00%","$5.00","5.00%","$5.00","200","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL 955-X9","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","TERMINALES","","","TERMINAL DE COBRE 920X9","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","TERMINALES","","","TERMINAL DE COBRE 921X9","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","TERMINALES","","","TERMINAL DE COBRE 922X9","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","TERMINALES","","","TERMINAL DE COBRE 923X9","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
